FID,Facility Number,Facility Name,HMIS,Province,District,Division,LOCATION,Sub Location,Spatial_Re,Facility Type,Agency,Latitude,Longitude,GlobalID,x,y
1091,20,MIGWANI SUB-DISTRICT HOSP,923,EASTERN,MWINGI,MIGWANI,MIGWANI,KALILUNI(MWINGI),DSA/DFH(MOH)-UNFPA REPORT,1,MOH,-1.08919,38.0062,a72b47ee-7054-4a88-8c68-4616cea70458,4230830.83098732,-121255.379573479
1092,72,NUNGUNI SDH,1031,EASTERN,MAKUENI,KILUNGU,KITHEMBE,NDUU(MAKUENI),GPS,1,MOH,-1.78343,37.35991,dd3c93eb-285b-4b36-a1c0-76a1fbb10c2e,4158886.15728254,-198562.585710734
1093,73,NZEENI LIONS DISP,0,EASTERN,MAKUENI,MBITINI,KYEMUNDU,MBELETU,HD MAPS,4,NGO,-1.97433,37.4947,135ff964-ca41-4d67-9036-62fee275b02c,4173890.91144656,-219824.917632243
1094,8,KAGWA DISP,2649,NYANZA,BONDO,MADIANY,WEST UYOMA,KAGWA(BONDO),GPS,4,MOH,-0.22851,34.25665,b2c8da8e-ae30-4de7-b6b9-f9463e84f532,3813432.8342834,-25437.684277207
1095,21,MIVUKONI DISP,894,EASTERN,MWINGI,KYUSO,MIVUKONI,KATUKA,DSA/DFH(MOH)-UNFPA REPORT,4,MOH,-0.407504,38.2154,ec17a392-57da-4a4a-a6b6-1fb3146b51cd,4254118.86846127,-45363.520227232
1096,16,KARIAKOMO MISSION DISP,1102,EASTERN,SOUTH MERU,MWIMBI,GANGA,KIRUMI,DHMT,4,MISS,-0.24,37.68,99cc6fa7-a5a5-4e49-97ab-9fd99645db2f,4194518.41309056,-26716.755919031
1097,9,KAGWA SDA HC,0,NYANZA,BONDO,MADIANY,WEST UYOMA,KAGWA(BONDO),GPS,3,MISS,-0.22469,34.25637,bc2c78a6-4b21-49ce-9303-d79d54754de0,3813401.66482598,-25012.4404966052
1098,74,NZEVENI SUB HEALTH CENTRE,3665,EASTERN,MAKUENI,MTITO ANDEI,NZAMBANI,MUTHINGIINI,GPS,3,MOH,-2.59171,37.99668,4dd1c91b-eb84-421c-a4d5-ea16ce2e999e,4229771.06943497,-288606.273977873
1099,18,KARIMBA DISP,1103,EASTERN,SOUTH MERU,MUTHAMBI,MITHERU,KARIMBA,1:50000 MAPS,4,MISS,-0.298835,37.69,09d01013-93f8-4547-9891-edb7f9469c58,4195631.60799849,-33266.3108557505
1100,22,MUI DISP,895,EASTERN,MWINGI,NUU,MUI,NGILUNI(MWINGI),DSA/DFH(MOH)-UNFPA REPORT,4,MOH,-1.11892,38.2066,b268f7a5-958b-423d-9795-955a2696a322,4253139.25694229,-124565.522596806
1101,75,NZIU SUB HEALTH CENTRE,1012,EASTERN,MAKUENI,MATILIKU,KALAMBA,NZIU,GPS,3,MOH,-1.81368,37.53664,0be1d568-769d-46bc-8c20-7c5ac4e7492a,4178559.65089043,-201931.66011342
1102,10,KAPIYO DISP,4250,NYANZA,BONDO,BONDO,S.W. SAKWA,UTONGA,GPS,4,MOH,-0.08601,34.17491,2fc4ac5a-3b1d-4a99-b66d-75c7ab333e33,3804333.57910596,-9574.59299913915
1103,20,KARONGONI CATHOLIC DISP,2728,EASTERN,SOUTH MERU,CHUKA,KARINGANI,KARONGONI,SUBLOC CENTROID,4,MISS,-0.330064,37.699153,9308cb44-316b-4b48-a06a-0846170e17a1,4196650.51529771,-36742.7596321456
1104,23,MUUMONI DISP,898,EASTERN,MWINGI,MUUMONI,KAKUYU,IKONGO,DSA/DFH(MOH)-UNFPA REPORT,4,MOH,-0.571593,37.9434,bb26e355-c4df-4a8d-aa72-5d917c582df7,4223839.9669655,-63630.4971717547
1105,21,KIAIRUGU DISP,2528,EASTERN,SOUTH MERU,MWIMBI,MAARA,THIGAA,DHMT,4,MISS,-0.23,37.71,0cc65f5c-184e-4f79-b230-d496ac55f790,4197857.99781435,-25603.5516462627
1106,24,MWINGI DISTRICT HOSPITAL,932,EASTERN,MWINGI,CENTRAL,MWINGI,KYANIKA(MWINGI),HD MAPS,1,MOH,-0.9334,38.0673,35a859f2-bf63-45d9-b210-1f3c61410689,4237632.45187479,-103910.208990924
1107,11,MADIANY HEALTH CENTRE,1368,NYANZA,BONDO,MADIANY,EAST UYOMA,WEST KATWENG'A,GPS,3,MOH,-0.28134,34.3224,7a263ac1-6f1f-4a12-b6e2-e2e52ba25d05,3820752.09080306,-31318.7513951464
1108,76,SALAMA  BAPTIST MEDICAL DISP,0,EASTERN,MAKUENI,KILOME,KIIMA-KIU,NGAAMBA,GPS,4,MISS,-1.85061,37.25772,bbb2bd94-a350-4139-8848-e5af7b43304d,4147510.41851837,-206044.791692815
1109,22,KIAMUCHAIRU DISP,3948,EASTERN,SOUTH MERU,MWIMBI,CHOGORIA,KIRARO,DHMT,4,MISS,-0.22,37.66,10bb3b77-91cb-4345-a207-772914bca6a8,4192292.02327469,-24490.3481534307
